BAIdentifier,BALegalName,BAAddress,BAPhoneNumber,BACorporateStatus,BACorporateStatusEffectiveDate,AmalgamatedIntoBAID,AmalgamatedIntoBALegalName,BAAmalgamationEstablishedDate,BALicenceEligibilityType,BALicenceEligibiltyDesc,BAAbbreviatedName
0JG2,BALLATER RESOURCES LTD.,717 7 AVE SW SUITE 2040    CALGARY AB CA T2P 0Z3,403-266-2755,AMALGAMATED,2009-01-01,A58D,PETRO UNO RESOURCES LTD.,2009-04-30,01,Not Eligible,BALLATER RES
0JG3,NU-SKY ENERGY INC.,400 5 AVE SW SUITE 530    CALGARY AB CA T2P 0L6,403-298-2787,DISSOLUTION/DISSOLVED,2003-08-01,,,,01,Not Eligible,NU-SKY ENERGY
0JG4,CARLSBAD VENTURES INC,800 WEST PENDER ST SUITE 300    VANCOUVER BC CA V6C 2V8,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,CARLSBAD VENT
0JG5,SIRIUS ENERGY CORPORATION LTD.,700 6 AVE SW SUITE 550    CALGARY AB CA T2P 0T8,999-999-9999,STRUCK,2005-08-02,,,,03,Limited Eligibility,SIRIUS ENERGY
0JG6,HIGH LEVEL RESOURCES INC,805 8 AVE SW SUITE 708    CALGARY AB CA T2P 1H7,999-999-9999,STRUCK,1991-04-01,,,,01,Not Eligible,HIGH LEVEL RES
0JG7,ALTAMERA INVESTMENTS LTD,4919 59 ST SUITE 274    RED DEER AB CA T4N 6C9,999-999-9999,STRUCK,1999-08-01,,,,01,Not Eligible,ALTAMERA INVST
0JG8,925011 ALBERTA LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1989-12-01,0JC4,925011 ALBERTA LTD.,2003-04-30,01,Not Eligible,
0JG9,"SABINE CANADA, INC","1200, 1700 PACIFIC AVE    DALLAS TX US 75201",999-999-9999,STRUCK,1990-07-01,,,,03,Limited Eligibility,
0JH1,SEFFIAN PETROLEUMS LTD.,PO Box 72    Sedgewick AB CA T0B 4C0,780-679-7743,AMALGAMATED,2018-09-01,A80P,WALLACE OILFIELD SERVICES LTD.,2018-12-31,02,General Eligibility,SEFFIAN PETROL
0JH2,1273373 ONTARIO LIMITED,801 6 AVE SW SUITE 2280    CALGARY AB CA T2P 3W2,999-999-9999,CONTINUED OUT/AMALGAMATED,1998-02-01,0DC8,"BG CANADA ENERGY, INC.",2002-10-31,01,Not Eligible,
0JH3,LAMBDA RESOURCES LTD,444 5 AVE SW SUITE 2220    CALGARY AB CA T2P 2T8,999-999-9999,DISSOLUTION/DISSOLVED,1998-07-31,,,,01,Not Eligible,LAMBDA RESOURC
0JH4,ALBERTA ENERGY COMPANY LTD,SURFACE LAND DEPARTMENT 421 7 AVE SW SUITE 3900   CALGARY AB CA T2P 4K9,999-999-9999,AMALGAMATED,1998-01-01,0R61,ALBERTA ENERGY COMPANY LTD.,2002-10-31,01,Not Eligible,
0JH5,375275 ALBERTA LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1992-05-01,,,,01,Not Eligible,375275 ALTA
0JH6,AMMOLITE MINERALS LTD.,11815 Elbow Dr SW    Calgary AB CA T2W 1H1,999-999-9999,STRUCK,2009-11-02,,,,03,Limited Eligibility,AMMOLITE MIN
0JH7,SCHMIDT DRILLING LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0ZB2,55042 ALBERTA LTD.,2002-10-31,01,Not Eligible,
0JH8,NORTHROCK RESOURCES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0KR3,NORTHROCK RESOURCES LTD.,2002-10-31,01,Not Eligible,
0JH9,NORTHROCK RESOURCES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0KR3,NORTHROCK RESOURCES LTD.,2002-10-31,01,Not Eligible,
0JJ1,STERLING OIL LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0JP6,STERLING OIL LIMITED,2002-10-31,01,Not Eligible,
0JJ2,NORTHRIDGE EXPLORATION LTD.,225 6 AVE SW PO BOX 766   CALGARY AB CA T2P 0M5,403-298-6111,AMALGAMATED,2014-01-01,0R46,HUSKY OIL OPERATIONS LIMITED,,01,Not Eligible,NORTHRIDGE EXP
0JJ3,"SEXSMITH, TOWN OF",9927 100 ST PO BOX 420   SEXSMITH AB CA T0H 3C0,999-999-9999,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,SEXSMITH
0JJ4,OEL FARM CORP,1223B 11 AVE SW    CALGARY AB CA T3C 0M5,999-999-9999,STRUCK,1991-11-01,,,,01,Not Eligible,
0JJ5,NORJO WELL SERVICING LTD,4035 40 AVE NW SUITE 314    CALGARY AB CA T1A 7G8,999-999-9999,STRUCK,1990-08-01,,,,01,Not Eligible,NORJO WS
0JJ6,RANCHMEN'S RESOURCES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0R63,RANCHMEN'S RESOURCES LTD.,2002-10-31,01,Not Eligible,
0JJ7,ENCANA WEST LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1993-09-01,0E21,ENCANA WESTERN RESOURCES LTD.,2002-10-31,01,Not Eligible,
0JJ8,WOOD-KO OIL & GAS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1990-01-01,,,,01,Not Eligible,
0JJ9,SAMSON COURAGE ENERGY INC.,300 5 AVE SW SUITE 2400    CALGARY AB CA T2P 3C4,403-231-9920,AMALGAMATED,2006-08-22,0NX9,"SAMSON CANADA, LTD.",2006-11-30,01,Not Eligible,COURAGE ENERGY
0JK1,PETRO SOURCE CORPORATION,550 11 AVE SW SUITE 903    CALGARY AB CA T2R 1M7,999-999-9999,STRUCK,1999-08-01,,,,01,Not Eligible,PETRO SOURCE
0JK2,TSC EXPLORATION LTD,207 OAKSIDE CIRCLE SW    CALGARY AB CA T2V 4H4,999-999-9999,STRUCK,2022-02-02,,,,01,Not Eligible,TSC EXPLOR
0JK3,PNG PROJECTS LTD,SITE 10 BOX 19 RR 4   CALGARY AB CA T2M 4L4,999-999-9999,ACTIVE,1991-01-01,,,,03,Limited Eligibility,BIGSTONE ENERG
0JK4,UNOCAL CANADA RESOURCES,3500-700 2 St SW    Calgary AB CA T2P 2W2,999-999-9999,DISSOLUTION/DISSOLVED,2000-09-15,,,,01,Not Eligible,UNOCAL CN RES
0JK5,SHUNDA ENERGY CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0JP5,SHUNDA ENERGY CORPORATION,2002-10-31,01,Not Eligible,
0JK6,KANTEC PETROLEUM (SOUTHERN) LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0DY2,KANTEC PETROLEUM (SOUTHERN) LTD.,2002-10-31,01,Not Eligible,
0JK7,ENERGY PROCESSORS LEASING LTD,505 EASTLAKE BLVD    AIRDRIE AB CA T0M 0B0,999-999-9999,STRUCK,1998-02-25,,,,01,Not Eligible,ENERGY PROCESS
0JK8,CAMPBELL VICTOR LEROY ,PO Box 89    Heisler AB CA T0B 2A0,999-999-9999,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,"CAMPBELL, V.L."
0JK9,GRAD & WALKER ENERGY CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0RK2,GRAD & WALKER ENERGY CORPORATION,2002-10-31,01,Not Eligible,
0JL1,CAIRN EXPLORATION LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0JE9,CAIRN EXPLORATION LTD.,2002-10-31,01,Not Eligible,
0JL2,G.J.S. RESOURCES LTD,1100-800 5 Ave SW    Calgary AB CA T2P 3T6,999-999-9999,STRUCK,1995-04-01,,,,03,Limited Eligibility,G.J.S. RES
0JL3,YOUNG WEST RESOURCES LTD.,PO Box 30130 Rpo Chinook    Calgary AB CA T2H 2V8,403-269-4371,STRUCK,2012-10-02,,,,01,Not Eligible,YOUNG WEST RES
0JL4,BONNYVILLE ENERGY COMPANY LTD,PO BOX 6216    BONNYVILLE AB CA T9N 2G8,999-999-9999,STRUCK,1991-11-01,,,,03,Limited Eligibility,
0JL5,KANATI ENERGY INCORPORATED,PO BOX 67180 RPO NORTHLAND VLG    CALGARY AB CA T2L 2L2,403-455-4720,STRUCK,2023-01-02,,,,03,Limited Eligibility,POINT NORTH ENER
0JL6,TERROCO INDUSTRIES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,403-742-3706,AMALGAMATED,2002-10-01,0PP6,TERROCO INDUSTRIES LTD.,2002-10-31,01,Not Eligible,
0JL7,PLEDGE PETROLEUM LTD,1015 4 ST SW SUITE 300    CALGARY AB CA T2R 1J4,999-999-9999,STRUCK,1998-10-15,,,,03,Limited Eligibility,PLEDGE PETRO
0JL8,PARAMOUNT RESOURCES (ACL) LTD.,2800-421 7 Ave SW    Calgary AB CA T2P 4K9,403-261-1200,AMALGAMATED,2018-01-01,0AW4,PARAMOUNT RESOURCES LTD.,2018-04-30,01,Not Eligible,APACHE CANADA
0JL9,TUDOR CORPORATION LTD.,1106-318 26 Ave SW    Calgary AB CA T2S 2T9,403-250-7225,STRUCK,2018-07-02,,,,03,Limited Eligibility,TUDOR CORP LTD
0JM1,WILLIAMS ENERGY COMPANY LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0MR9,WILLIAMS ENERGY COMPANY LTD.,2002-10-31,01,Not Eligible,
0JM2,JARALTA VENTURES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1996-08-01,,,,03,Limited Eligibility,JARALTA VENT
0JM3,DOUGLAS R.K. ,800-717 7 Ave SW    Calgary AB CA T2P 0Z3,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,"DOUGLAS, R.K."
0JM4,TWIN ROCK HOLDINGS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0EF1,TWIN ROCK HOLDINGS LTD,2002-10-31,01,Not Eligible,
0JM5,SYMMETRY RESOURCES INC.,202 6 AVE SW SUITE 1250    CALGARY AB CA T2P 2R9,999-999-9999,AMALGAMATED,2000-07-01,0PW9,ANADARKO CANADA ENERGY LTD.,2002-10-31,01,Not Eligible,
0JM6,X-PLORE ENERGY LTD.,143 Rolling Acres Dr    Calgary AB CA T3R 1B8,403-239-4746,STRUCK,2010-09-02,,,,01,Not Eligible,X-PLORE ENERGY
0JM7,154799 CANADA OIL & GAS PROPERTIES INC,505 3 ST SW SUITE 1304    CALGARY AB CA T2P 3E6,999-999-9999,STRUCK,1994-10-01,,,,01,Not Eligible,154799 CANADA
0JM8,GLEDDIE RANCHES LTD.,PO Box 248    Tilley AB CA T0J 3K0,403-362-1830,AMALGAMATED,2018-02-28,A7W3,3 TRIANGLE LAND AND LIVESTOCK LTD.,2018-06-30,01,Not Eligible,GLEDDIE RANCH
0JM9,GENERAL ATLANTIC OILS LTD,1000-350 7 Ave SW    Calgary AB CA T2P 3N9,999-999-9999,CONTINUED OUT/AMALGAMATED,1995-04-01,0223,CALPINE CANADA NATURAL GAS COMPANY,2002-10-31,01,Not Eligible,
0JN1,EXCHANGE RESOURCES LTD,LAND MANAGER 401 9 AVE SW PO BOX 130 STN M   CALGARY AB CA T2P 2H7,999-999-9999,DISSOLUTION/DISSOLVED,2000-01-01,,,,03,Limited Eligibility,EXCHANGE RES
0JN2,SAWN LAKE RESOURCES LTD,147 Hampshire Close NW    Calgary AB CA T3A 4Y1,999-999-9999,AMALGAMATED,2006-06-30,A26N,GREAT NORTHERN OIL & GAS INC.,2006-09-30,01,Not Eligible,SAWN LAKE RES
0JN3,1148502 ONTARIO LIMITED,500 4 AVE SW SUITE 2500    CALGARY AB CA T2P 2V6,999-999-9999,AMALGAMATED,1998-09-01,0AL2,MARATHON CANADA LIMITED,2002-10-31,01,Not Eligible,
0JN4,OILTEC ENERGY SERVICES LTD.,1810-205 5 Ave SW    Calgary AB CA T2P 2V7,999-999-9999,STRUCK,2006-03-02,,,,01,Not Eligible,OILTEC ENERGY
0JN5,G J S RESOURCES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0JL2,G.J.S. RESOURCES LTD,2002-10-31,01,Not Eligible,
0JN6,RASMUSON GERALD ,6723 Huntchester Rd NE    Calgary AB CA T2K 5E6,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,"RASMUSON, G"
0JN7,AMAR SURVEYS LTD.,818 16 Ave NW    Calgary AB CA T2M 0K1,999-999-9999,ACTIVE,2002-10-01,,,,01,Not Eligible,AMAR SURVEYS
0JN8,CANADIAN ARCTIC PETROLEUMS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1996-08-01,0TH5,TEKERRA GAS INC,2002-10-31,01,Not Eligible,
0JN9,CRAWFORD SAWMILLS,PO BOX 1198    ATHABASCA AB CA T0G 0B0,999-999-9999,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,CRAWFORD SAWML
0JP1,ADVENTURE INVESTMENTS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1994-10-01,,,,01,Not Eligible,ADVENT INVEST
0JP2,DENBURY RESOURCES INC,5100 TENNYSON PKWY SUITE 3000    PLANO TX US 750244932,999-999-9999,STRUCK,2001-07-02,,,,03,Limited Eligibility,DENBURY
0JP3,TEAM WELL SERVICING LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0XB7,TEAM WELL SERVICING LTD.,2002-10-31,01,Not Eligible,
0JP4,RECOIL WASTE & CENTRAL TREATING LTD.,PO BOX 4299    TABER AB CA T1G 2C7,999-999-9999,STRUCK,2006-04-02,,,,03,Limited Eligibility,RECOIL WST&TRT
0JP5,SHUNDA ENERGY CORPORATION,6923 LOWES COURT SW    CALGARY AB CA T3E 6G8,999-999-9999,STRUCK,2013-04-02,,,,03,Limited Eligibility,xSHUNDA ENERGY
0JP6,STERLING OIL LIMITED,1000-540 5 Ave SW    Calgary AB CA T2P 0M2,999-999-9999,DISSOLUTION/DISSOLVED,1993-12-31,,,,01,Not Eligible,STERLING OIL
0JP7,AMPAC PETROLEUM INC,8014 Edgar Industrial Cres    Red Deer AB CA T4P 3R3,999-999-9999,ACTIVE,1997-02-01,,,,03,Limited Eligibility,AMPAC PETRO
0JP8,ALLIED OIL & GAS CORP.,580 1 St SE    Medicine Hat AB CA T1A 8E6,403-529-8248,ACTIVE,1989-01-01,,,,03,Limited Eligibility,ALLIED OIL & G
0JP9,LASH OIL CO. LTD,5113 62 ST PO BOX 1161   LLOYDMINSTER SK CA S9V 1G1,999-999-9999,DISSOLUTION/DISSOLVED,2000-01-17,,,,01,Not Eligible,LASH OIL CO
0JR1,PRIOR RESOURCES LTD,36 Millward Pl NE    Calgary AB CA T2E 7R9,999-999-9999,STRUCK,1999-03-13,,,,03,Limited Eligibility,PRIOR RES
0JR2,SUNSHINE OIL COMPANY LTD,PO BOX 6986 STN D    CALGARY AB CA T2P 2G2,999-999-9999,STRUCK,1990-03-01,,,,01,Not Eligible,SUNSHINE OIL
0JR3,GARDINER OIL AND GAS LIMITED,1600-333 7 Ave SW    Calgary AB CA T2P 2Z1,999-999-9999,AMALGAMATED,1997-01-01,0BL1,CONOCOPHILLIPS CANADA (BRC) LTD.,2002-10-31,01,Not Eligible,
0JR4,NICHOLS KEN R. ,PO BOX 34    CEREAL AB CA T0J 0W0,999-999-9999,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,"NICHOLS, K.R."
0JR5,GW ENERGY LTD,333 7 AVE SW SUITE 3100 PO BOX 888   CALGARY AB CA T2P 4M8,999-999-9999,AMALGAMATED,1995-10-31,0RK2,GRAD & WALKER ENERGY CORPORATION,2002-10-31,01,Not Eligible,
0JR6,BARRACK WILLIAM JOHN ,BOX 5    CEREAL AB CA T0J 0N0,999-999-9999,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,"BARRACK, W.J."
0JR7,HEALY KEITH ,PO Box 450    Vulcan AB CA T0L 2B0,999-999-9999,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,
0JR8,KERROBERT RESOURCES LTD,9945 108 ST NW FLOOR E    EDMONTON AB CA T5A 1G3,999-999-9999,STRUCK,1993-12-31,,,,01,Not Eligible,SILVERSTAR RES
0JR9,NYCAL (CANADA) INC,1751 PINNACLE DRIVE SUITE 500    MCLEAN VA US 221023833,999-999-9999,STRUCK,2001-11-02,,,,01,Not Eligible,NYCAL (CANADA)
0JT1,EXXONMOBIL CANADA ENERGY,505 QUARRY PARK BLVD SE PO BOX 2480 STATION M   CALGARY AB CA T2P 3M9,403-237-3737,ACTIVE,1988-01-01,,,,03,Limited Eligibility,EXXONMOBILCANR
0JT2,HYDROMET ENVIRONMENTAL RECOVERY LTD,1800-505 3 St SW    Calgary AB CA T2P 3E6,999-999-9999,STRUCK,2005-01-02,,,,03,Limited Eligibility,HYDRMET ENVIRO
0JT3,NEXEN CANADA LTD.,801 7 AVE SW SUITE 2900 PO BOX 2727 STN M   CALGARY AB CA T2P 5C1,403-699-4000,AMALGAMATED,2005-01-12,0226,NEXEN ENERGY ULC,2005-04-30,01,Not Eligible,NEXcan
0JT4,COURAGE ENERGY INC,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0JJ9,SAMSON COURAGE ENERGY INC.,2002-10-31,01,Not Eligible,
0JT5,SABA ENERGY LTD.,BOX 20029 RPO BOW VALLEY    CALGARY AB CA T2P 4H3,999-999-9999,STRUCK,2011-07-02,,,,03,Limited Eligibility,SABA ENGY
0JT6,CANADIAN NATURAL RESOURCES LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1997-05-01,0EX4,CANADIAN NATURAL RESOURCES LIMITED,2002-10-31,01,Not Eligible,
0JT7,DUGDALE INVESTMENTS LTD.,3-3600 21 St NE    Calgary AB CA T2E 6V6,999-999-9999,ACTIVE,2018-10-02,,,,01,Not Eligible,DUGDALE INVEST
0JT8,DEVON AOG CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1996-04-01,0K16,ULSTER PETROLEUMS LTD.,2002-10-31,01,Not Eligible,DEVON AOG CORP
0JT9,RIDEAU PETROLEUMS LTD.,PO BOX 520 STN A    KELOWNA BC CA V1Y 7P1,999-999-9999,CONTINUED OUT,2008-01-15,,,,03,Limited Eligibility,RIDEAU PETRO
0JW1,UMAR RESOURCES LTD,"M10, 10303 JASPER AVE NW    EDMONTON AB CA T5J 3N6",999-999-9999,STRUCK,1992-01-01,,,,01,Not Eligible,UMAR RES
0JW2,WATTS RESOURCES LTD,920-540 5 Ave SW    Calgary AB CA T2P 0M2,999-999-9999,ACTIVE,1992-10-01,,,,03,Limited Eligibility,WATTS RES
0JW3,DOUBLE D ENERGY LTD.,840 6 AVE SW SUITE 530    CALGARY AB CA T2P 3E3,999-999-9999,STRUCK,1991-10-01,,,,01,Not Eligible,DOUBLE D ENGY
0JW4,DEMINEX (CANADA) LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0DH3,2349507 CANADA INC.,2002-10-31,01,Not Eligible,
0JW5,RENATA RESOURCES INC,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1989-12-01,0DA4,INTENSITY RESOURCES LTD.,2002-10-31,01,Not Eligible,
0JW6,DEXX ENERGY CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0GZ2,DEXX ENERGY CORPORATION,2002-10-31,01,Not Eligible,
0JW7,COONEY OIL & GAS LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0LD4,COONEY OIL & GAS LIMITED,2002-10-31,01,Not Eligible,
0JW8,VERDX MINERALS CORPORATION,332 Fairview Dr    Whitby ON CA L1N 3A6,999-999-9999,STRUCK,2011-02-02,,,,03,Limited Eligibility,VERDX MINERAL
0JW9,SOUTHERN ALBERTA INSTITUTE OF TECHNOLOGY,1301 16 Ave NW    Calgary AB CA T2M 0L4,999-999-9999,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,SAIT
0JX1,CORD OIL & GAS MANAGEMENT LIMITED,820-717 7 Ave SW    Calgary AB CA T2P 0Z3,403-266-3363,AMALGAMATED,2006-03-16,0L0R,PHAETON RESOURCES LIMITED,2006-06-30,01,Not Eligible,CORD OIL & GAS
0JX2,CHERHILL WATER DISPOSAL SERVICES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,DISSOLUTION/DISSOLVED,1990-11-26,,,,01,Not Eligible,
0JX3,374624 ALBERTA LTD.,PO Box 1527    Stettler AB CA T0C 2L0,999-999-9999,STRUCK,2006-06-02,,,,03,Limited Eligibility,374624 ALTA
0JX4,NEBEX RESOURCES LTD,200-600 6 Ave SW    Calgary AB CA T2P 0S5,999-999-9999,STRUCK,1999-12-01,,,,03,Limited Eligibility,NEBEX RESOURCE
0JX5,PURA VIDA INTERNATIONAL CORPORATION,777 8 AVE SW SUITE 1620    CALGARY AB CA T2P 3R5,999-999-9999,STRUCK,2003-11-02,,,,03,Limited Eligibility,PURA VIDA INTE
0JX6,MARLBORO PETROLEUM INC.,1000-500 4 Ave SW    Calgary AB CA T2P 2V6,999-999-9999,STRUCK,2011-09-02,,,,03,Limited Eligibility,MARLBORO PETRO
0JX7,BURLINGTON RESOURCES CANADA LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1995-07-01,0JR3,GARDINER OIL AND GAS LIMITED,2002-10-31,01,Not Eligible,
0JX8,FAIRLANE HUTTERIAN BRETHREN,PO Box 12    Skiff AB CA T0K 2B0,999-999-9999,ACTIVE,2002-10-01,,,,03,Limited Eligibility,HUTT FAIRLANE
0JX9,BOLLINGER CLIFF ,BOX 24    IRVINE AB CA T0J 1V0,999-999-9999,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,"BOLLINGER, C"
0JY1,MISTAHIYA RESOURCES LTD.,1203-505 4 Ave SW    Calgary AB CA T2P 0J8,403-263-4292,STRUCK,2017-12-02,,,,03,Limited Eligibility,MISTAHIYA RES
0JY2,SUNRISE HUTTERIAN BRETHREN,PO Box 588    Etzikom AB CA T0K 0W0,403-666-3787,ACTIVE,2002-10-01,,,,03,Limited Eligibility,SUNRISE HUTT B
0JY3,WALTER BENNY ,1845 19 Ave SE    Medicine Hat AB CA T1A 3W8,999-999-9999,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,"WALTER, BENNY"
0JY4,JUNIPER RIDGE OIL & GAS LTD.,SITE 20 BOX 15 RR 1   RED DEER AB CA T4N 5E1,999-999-9999,DISSOLUTION/DISSOLVED,2005-05-31,,,,01,Not Eligible,JUNIPER RIDGE
0JY5,NORTHRIDGE EXPLORATION LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1994-01-01,0JJ2,NORTHRIDGE EXPLORATION LTD.,2002-10-31,01,Not Eligible,
0JY6,ELITE WELL SERVICING LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0XA8,ELITE WELL SERVICING LTD,2002-10-31,01,Not Eligible,
0JY7,WILLIAMS RICHARD ,    WARDLOW AB CA T0J 3M0,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,"WILLIAMS, R"
0JY8,WARD CALVIN ,PO BOX 733    ALTARIO AB CA T0C 1R0,999-999-9999,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,"WARD, CALVIN"
0JY9,UNIFIED RESOURCES LTD,28 Muldrew Cres    Red Deer AB CA T4R 1R4,999-999-9999,STRUCK,1993-02-01,,,,03,Limited Eligibility,UNIFIED RES
0JZ1,DANGERFIELD RESOURCES INC,605 5 AVE SW SUITE 3200    CALGARY AB CA T2P 3H5,999-999-9999,STRUCK,2004-10-06,,,,01,Not Eligible,DANGERFIELD
0JZ2,IMPERIAL OIL RESOURCES VENTURES LIMITED,505 QUARRY PARK BLVD SE PO BOX 2480 STN M   CALGARY AB CA T2P 3M9,403-237-3737,AMALGAMATED,2017-01-01,0007,IMPERIAL OIL RESOURCES LIMITED,2017-04-30,01,Not Eligible,IMP OIL RES V
0JZ3,KANEX ENERGY CORP.,41 Springland Way    Calgary AB CA T3Z 3N6,403-240-1863,STRUCK,2019-02-02,,,,03,Limited Eligibility,KANEX ENERGY
0JZ4,JOMAR ENGINEERING LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,2001-08-02,,,,01,Not Eligible,JOMAR ENG LTD
0JZ5,EDGE ENERGY INC,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1991-01-01,0LB6,EDGE ENERGY INC.,2003-12-31,01,Not Eligible,
0JZ6,G & W RESOURCES LTD,700 9 AVE SW SUITE 1600    CALGARY AB CA T2P 3V4,999-999-9999,STRUCK,1993-09-03,,,,01,Not Eligible,G & W RES
0JZ7,LEHR GARY LAWRENCE,PO Box 210    Irvine AB CA T0J 1V0,403-834-2122,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,"LEHR, GARY L"
0JZ8,SWANSON LYNTON ,7 Forest Close    Red Deer AB CA T4N 4Z7,999-999-9999,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,"SWANSON, L."
0JZ9,BLUE GOLD OIL & GAS LIMITED,550 BELMONT HOUSE 33 ALDERNEY DR   DART MOUTH NS CA B2Y 2N4,999-999-9999,STRUCK,1997-05-01,,,,03,Limited Eligibility,BLUE GOLD O&G
0K00,SIMBA CONSULTANTS LTD.,1510-840 7 Ave SW    Calgary AB CA T2P 3G2,999-999-9999,STRUCK,2013-06-07,,,,01,Not Eligible,SIMBA CONSULT
0K01,NOKOMIS ENERGY INC,7225 Patterson Dr    Grande Prairie AB CA T8V 5A2,999-999-9999,ACTIVE,2002-10-01,,,,01,Not Eligible,NOKOMIS ENERGY
0K02,NORTH CENTRAL OIL CORPORATION,6001 SAVOY DR SUITE 600    HOUSTON TX US 77036,999-999-9999,STRUCK,2003-02-02,,,,03,Limited Eligibility,NORTH CENTRAL
0K03,"WESTERN LAND COMPANY, LIMITED",9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1933-04-15,,,,01,Not Eligible,
0K04,THE WAVERLY OIL WORKS COMPANY,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1979-09-29,,,,03,Limited Eligibility,
0K05,BP CANADA ENERGY RESOURCES COMPANY,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0LF3,BP CANADA ENERGY RESOURCES COMPANY,2002-10-31,01,Not Eligible,
0K06,LYLETON CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0K53,LYLETON CORPORATION,2002-10-31,01,Not Eligible,
0K07,GULF CANADA LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0002,GULF CANADA LIMITED,2002-10-31,01,Not Eligible,
